Fasta	Genome	contig	Start	Stop	protID	name	url
GCF-003028335-protein3169.fasta	GCF_003028335	NZ_CP028162.1	3470637	3470844	3169	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A2D6TBR0
GCF-002968695-protein7140.fasta	GCF_002968695	NZ_CP027174.1	514053	514944	7140	Segregation and condensation protein A	http://purl.uniprot.org/uniprot/A0A157VZN6
GCF-002812825-protein9245.fasta	GCF_002812825	NZ_CP025049.1	3472035	3472650	9245	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00073DC41D
GCF-002442855-protein8523.fasta	GCF_002442855	NZ_CP017306.1	2328942	2331156	8523	toprim domain-containing protein	http://purl.uniprot.org/uniparc/UPI00053E5112
GCF-900185255-protein7974.fasta	GCF_900185255	NZ_LT883143.1	2486455	2486797	7974	Conserved plasmid protein	http://purl.uniprot.org/uniprot/A0A1V2Y624
GCF-002968955-protein7951.fasta	GCF_002968955	NZ_CP027166.1	2085195	2085552	7951	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A4U0JEG0
GCF-000271365-protein2856.fasta	GCF_000271365	NC_018080.1	3114000	3115263	2856	TolC family protein	http://purl.uniprot.org/uniprot/A0A3M8QI28
GCF-003073795-protein5523.fasta	GCF_003073795	NZ_CP029090.1	5920477	5923333	5523	Adenylate cyclase	http://purl.uniprot.org/uniprot/A0A241XW13
GCF-001874465-protein6919.fasta	GCF_001874465	NZ_CP017969.1	443231	444332	6919	Phage tail protein	http://purl.uniprot.org/uniprot/A0A3E1N7N4
GCF-003028335-protein2510.fasta	GCF_003028335	NZ_CP028162.1	2665093	2665888	2510	Polysaccharide export protein Wza	http://purl.uniprot.org/uniprot/A0A157WMJ9
GCF-003060845-protein1391.fasta	GCF_003060845	NZ_CP028917.1	1533697	1535584	1391	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0004B196F2
GCF-001516345-protein8132.fasta	GCF_001516345	NZ_CP008861.1	2392375	2392648	8132		
GCF-002287725-protein12165.fasta	GCF_002287725	NZ_CP023316.1	6420389	6420734	12165	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A4U9R1W7
GCF-003369775-protein3148.fasta	GCF_003369775	NZ_CP030910.1	3390804	3391905	3148	AAA family ATPase	http://purl.uniprot.org/uniparc/UPI000E21094A
GCF-002968955-protein7944.fasta	GCF_002968955	NZ_CP027166.1	2078435	2078798	7944	Transcriptional regulator	http://purl.uniprot.org/uniprot/A0A4U0JTS6
GCF-003193645-protein1661.fasta	GCF_003193645	NZ_CP029660.1	1848816	1849956	1661		
GCF-002205375-protein12565.fasta	GCF_002205375	NZ_CP022002.1	6474210	6475107	12565	alpha/beta hydrolase	http://purl.uniprot.org/uniparc/UPI000936C7CA
GCF-000017205-protein8806.fasta	GCF_000017205	NC_009656.1	3183081	3184044	8806	Peptidase_S15 domain-containing protein	http://purl.uniprot.org/uniprot/A0A1S1C749
GCF-002968695-protein6799.fasta	GCF_002968695	NZ_CP027174.1	155735	158723	6799	autotransporter domain-containing protein	http://purl.uniprot.org/uniparc/UPI00066467AB
GCF-002968695-protein8119.fasta	GCF_002968695	NZ_CP027174.1	1561884	1564995	8119	Multidrug transporter subunit MdtB	http://purl.uniprot.org/uniprot/A0A1S1C8D6
GCF-001516185-protein4693.fasta	GCF_001516185	NZ_CP008870.2	5118811	5119264	4693	TIGR03757 family integrating conjugative element protein	http://purl.uniprot.org/uniparc/UPI0003B96BCB
GCF-002968755-protein5465.fasta	GCF_002968755	NZ_CP027169.1	5973071	5973719	5465	Peptidase M15	http://purl.uniprot.org/uniprot/A0A140SFQ0
GCF-003052005-protein7220.fasta	GCF_003052005	NZ_CP028584.2	795636	796530	7220	dihydrodipicolinate synthase family protein	http://purl.uniprot.org/uniparc/UPI000D21A249
GCF-003193645-protein2028.fasta	GCF_003193645	NZ_CP029660.1	2263580	2264390	2028	AraC family transcriptional regulator	http://purl.uniprot.org/uniparc/UPI0005AB6E20
GCF-000271985-protein9458.fasta	GCF_000271985	NZ_CP015877.1	3930079	3931951	9458	Quinoprotein alcohol dehydrogenase (cytochrome c)	http://purl.uniprot.org/uniprot/Q9Z4J7
GCF-002812865-protein7285.fasta	GCF_002812865	NZ_CP025051.1	1260128	1260674	7285	phosphohydrolase	http://purl.uniprot.org/uniparc/UPI000A363BD0
GCF-001516305-protein9139.fasta	GCF_001516305	NZ_CP008859.2	2676132	2677056	9139	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A485EHH6
GCF-002215345-protein7887.fasta	GCF_002215345	NZ_CP017293.1	1123048	1124512	7887	zinc chelation protein SecC	http://purl.uniprot.org/uniparc/UPI0008925961
GCF-002753655-protein2418.fasta	GCF_002753655	NZ_CP024477.1	2606624	2607650	2418	SGL domain-containing protein	http://purl.uniprot.org/uniprot/A0A1C7BNS1
GCF-002968695-protein12542.fasta	GCF_002968695	NZ_CP027174.1	6458663	6459482	12542	IclR family transcriptional regulator	http://purl.uniprot.org/uniprot/A0A1S1C1B8
GCF-003319235-protein7241.fasta	GCF_003319235	NZ_CP030861.1	1185545	1185830	7241	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000445B68D
GCF-001518975-protein879.fasta	GCF_001518975	NZ_CP013989.1	956521	957118	879	Putative fimbrial subunit	http://purl.uniprot.org/uniprot/A0A485EY25
GCF-001547955-protein11001.fasta	GCF_001547955	NZ_AP014651.1	5101966	5102233	11001		
GCF-002968695-protein7417.fasta	GCF_002968695	NZ_CP027174.1	825298	826165	7417	MBL fold metallo-hydrolase	http://purl.uniprot.org/uniparc/UPI0002B58795
GCF-000496605-protein9162.fasta	GCF_000496605	NC_022808.2	2781091	2781364	9162	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A2V2TV59
GCF-002968695-protein9951.fasta	GCF_002968695	NZ_CP027174.1	3587524	3588055	9951	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000E20D948
GCF-003433235-protein3619.fasta	GCF_003433235	NZ_CP029605.1	3928303	3928930	3619	YqaJ domain-containing protein	http://purl.uniprot.org/uniprot/A0A125RNR2
GCF-002205375-protein9764.fasta	GCF_002205375	NZ_CP022002.1	3420972	3421476	9764		
GCF-000829885-protein10826.fasta	GCF_000829885	NZ_CP010555.1	4986448	4986907	10826	Cytoplasmic protein	http://purl.uniprot.org/uniprot/A0A1F0I753
GCF-001792855-protein4793.fasta	GCF_001792855	NZ_CP015002.1	5184208	5184478	4793	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0M0P3H7
GCF-000026645-protein5232.fasta	GCF_000026645	NC_011770.1	5686898	5687333	5232	Ribosome association toxin RatA	http://purl.uniprot.org/uniprot/O68560
GCF-001516105-protein3718.fasta	GCF_001516105	NZ_CP008868.1	4041218	4043414	3718	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000677022B
GCF-001516245-protein8472.fasta	GCF_001516245	NZ_CP008856.2	2347693	2348128	8472	Pyocin R2, holin	http://purl.uniprot.org/uniprot/A0A509JCG6
GCF-002205335-protein9930.fasta	GCF_002205335	NZ_CP021999.1	3533332	3534262	9930	Putative DNA segregation aTPase FtsK/SpoIIIE	http://purl.uniprot.org/uniprot/A6V3W0
GCF-002208645-protein4777.fasta	GCF_002208645	NZ_CP022001.1	5202622	5203048	4777	Uncharacterized protein	http://purl.uniprot.org/uniprot/W1MTJ5
GCF-001632245-protein10954.fasta	GCF_001632245	NZ_CP015377.1	4971074	4971413	10954	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0004A950A4
GCF-001632245-protein11614.fasta	GCF_001632245	NZ_CP015377.1	5770373	5771366	11614	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0007B40B37
GCF-003288335-protein2339.fasta	GCF_003288335	NZ_CP030351.1	2579207	2580632	2339	amino acid permease	http://purl.uniprot.org/uniparc/UPI00053D61C4
GCF-900185255-protein6940.fasta	GCF_900185255	NZ_LT883143.1	1355065	1356439	6940	MFS transporter	http://purl.uniprot.org/uniparc/UPI00045200EC
GCF-000508765-protein5385.fasta	GCF_000508765	NC_023066.1	5861610	5862357	5385	Putative lipoprotein	http://purl.uniprot.org/uniprot/A0A0H2ZIJ5
GCF-003052005-protein8986.fasta	GCF_003052005	NZ_CP028584.2	2725409	2725661	8986	helix-turn-helix transcriptional regulator	http://purl.uniprot.org/uniparc/UPI0003B95432
GCF-001792835-protein8391.fasta	GCF_001792835	NZ_CP015001.1	2146113	2146836	8391	Glycerophosphodiester phosphodiesterase	http://purl.uniprot.org/uniprot/A0A1S1C669
GCF-002968755-protein2565.fasta	GCF_002968755	NZ_CP027169.1	2848099	2848321	2565	Fer2_BFD domain-containing protein	http://purl.uniprot.org/uniprot/A0A1C7BJU9
GCF-003433235-protein3622.fasta	GCF_003433235	NZ_CP029605.1	3929818	3930373	3622		
GCF-002946935-protein7273.fasta	GCF_002946935	NZ_CP026680.1	1214470	1215418	7273	Putative ornithine cyclodeaminase	http://purl.uniprot.org/uniprot/A0A080VKM9
GCF-003052005-protein7266.fasta	GCF_003052005	NZ_CP028584.2	855280	856348	7266	LLM class flavin-dependent oxidoreductase	http://purl.uniprot.org/uniparc/UPI000D228E44
GCF-002968695-protein9701.fasta	GCF_002968695	NZ_CP027174.1	3341448	3343743	9701	ATP-dependent transcriptional regulator	http://purl.uniprot.org/uniprot/A0A448BPP4
GCF-001516305-protein11070.fasta	GCF_001516305	NZ_CP008859.2	4825817	4826417	11070	biliverdin-producing heme oxygenase	http://purl.uniprot.org/uniparc/UPI0003B93C75
GCF-002205335-protein11108.fasta	GCF_002205335	NZ_CP021999.1	4793050	4793887	11108	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A335EKT1
GCF-002968695-protein12827.fasta	GCF_002968695	NZ_CP027174.1	6770366	6771197	12827	SDR family oxidoreductase	http://purl.uniprot.org/uniparc/UPI0002B5EC7A
GCF-003028335-protein5194.fasta	GCF_003028335	NZ_CP028162.1	5626915	5627344	5194	50S ribosomal protein L13	http://purl.uniprot.org/uniprot/B7UZL1
GCF-000026645-protein238.fasta	GCF_000026645	NC_011770.1	262600	263479	238	EamA/RhaT family transporter	http://purl.uniprot.org/uniprot/A0A2V2THK0
GCF-000359505-protein9466.fasta	GCF_000359505	NC_020912.1	3635240	3635858	9466	Phosphoserine phosphatase ThrH	http://purl.uniprot.org/uniprot/Q9I2Y2
GCF-000017205-protein11818.fasta	GCF_000017205	NC_009656.1	6471569	6473060	11818	Glycosyltransferase family 1 protein	http://purl.uniprot.org/uniprot/A0A3S0JKG2
GCF-003052005-protein7302.fasta	GCF_003052005	NZ_CP028584.2	898126	899614	7302	M81 family metallopeptidase	http://purl.uniprot.org/uniparc/UPI000D2145E6
GCF-002968695-protein9627.fasta	GCF_002968695	NZ_CP027174.1	3268497	3269373	9627	Protein/nucleic acid deglycase HchA	http://purl.uniprot.org/uniprot/A0A2V2TP11
GCF-003193645-protein1675.fasta	GCF_003193645	NZ_CP029660.1	1867173	1868022	1675	alpha/beta hydrolase	http://purl.uniprot.org/uniparc/UPI0008A29936
GCF-003369755-protein8999.fasta	GCF_003369755	NZ_CP030912.1	2914603	2917567	8999	heavy metal translocating P-type ATPase	http://purl.uniprot.org/uniparc/UPI000E219197
GCF-001482325-protein3228.fasta	GCF_001482325	NZ_CP013696.1	3518501	3519716	3228	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0003B9A58B
GCF-001516105-protein5754.fasta	GCF_001516105	NZ_CP008868.1	6292075	6293512	5754	efflux transporter outer membrane subunit	http://purl.uniprot.org/uniparc/UPI000B1DA5BF
GCF-000017205-protein8787.fasta	GCF_000017205	NC_009656.1	3154245	3154455	8787	Uncharacterized protein	http://purl.uniprot.org/uniprot/A6V5S6
GCF-001722005-protein4987.fasta	GCF_001722005	NZ_CP017099.1	5415002	5416244	4987	MFS transporter	http://purl.uniprot.org/uniparc/UPI0003B9E9C2
GCF-001900195-protein6875.fasta	GCF_001900195	NZ_CP013477.1	1068203	1070726	6875	ATP-dependent helicase HrpB	http://purl.uniprot.org/uniprot/A0A4Y7UTI6
GCF-002812865-protein8443.fasta	GCF_002812865	NZ_CP025051.1	2495576	2495807	8443	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0004457886
GCF-001792835-protein12582.fasta	GCF_001792835	NZ_CP015001.1	6713199	6713925	12582		
GCF-003028335-protein1771.fasta	GCF_003028335	NZ_CP028162.1	1895301	1895505	1771	DUF1656 domain-containing protein	http://purl.uniprot.org/uniparc/UPI000D00B3DF
GCF-000284555-protein4570.fasta	GCF_000284555	NC_017549.1	5028434	5029916	4570	Glycosyl transferase	http://purl.uniprot.org/uniprot/A0A1F0IDT4
GCF-001547955-protein8808.fasta	GCF_001547955	NZ_AP014651.1	2681741	2682011	8808	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A485FXH0
GCF-001874465-protein8857.fasta	GCF_001874465	NZ_CP017969.1	2497014	2497506	8857	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A4U9PW45
GCF-003429205-protein6248.fasta	GCF_003429205	NZ_CP031660.1	286798	287590	6248	Dam family site-specific DNA-(adenine-N6)-methyltransferase	http://purl.uniprot.org/uniparc/UPI00033D5401
GCF-003028335-protein840.fasta	GCF_003028335	NZ_CP028162.1	914291	914714	840	MarR family transcriptional regulator	http://purl.uniprot.org/uniprot/A0A157VS74
GCF-001482325-protein3739.fasta	GCF_001482325	NZ_CP013696.1	4046600	4049075	3739	PglZ domain-containing protein	http://purl.uniprot.org/uniparc/UPI00071BE470
GCF-002968695-protein12148.fasta	GCF_002968695	NZ_CP027174.1	6035677	6036862	12148	Cystathionine gamma-synthase	http://purl.uniprot.org/uniprot/A0A2V2TQ31
GCF-002812865-protein9312.fasta	GCF_002812865	NZ_CP025051.1	3492331	3492604	9312	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000C2B91DD
GCF-002946935-protein6230.fasta	GCF_002946935	NZ_CP026680.1	90973	92032	6230	Radical SAM protein	http://purl.uniprot.org/uniprot/A0A1S1CAC8
GCF-002968755-protein3386.fasta	GCF_002968755	NZ_CP027169.1	3691614	3692265	3386	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000CFAE84C
GCF-002812865-protein9238.fasta	GCF_002812865	NZ_CP025051.1	3439881	3440241	9238		
GCF-000017205-protein10941.fasta	GCF_000017205	NC_009656.1	5483738	5484467	10941	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A2S5IBJ3
GCF-002075065-protein3638.fasta	GCF_002075065	NZ_CP014866.1	4006954	4007473	3638		
GCF-003025345-protein7293.fasta	GCF_003025345	NZ_CP020560.1	1190771	1191080	7293	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00044AC3B1
GCF-002968695-protein12276.fasta	GCF_002968695	NZ_CP027174.1	6179036	6179738	12276	MOSC domain-containing protein	http://purl.uniprot.org/uniprot/A0A2X2DCL5
GCF-002411865-protein5220.fasta	GCF_002411865	NZ_CP031449.1	5652585	5653614	5220	Dihydroorotate dehydrogenase (quinone)	http://purl.uniprot.org/uniprot/B7UWL8
GCF-002411865-protein4630.fasta	GCF_002411865	NZ_CP031449.1	5013391	5013610	4630		
GCF-001515845-protein8296.fasta	GCF_001515845	NZ_CP008865.2	2600798	2601245	8296		
GCF-002205375-protein9205.fasta	GCF_002205375	NZ_CP022002.1	2837267	2837945	9205	Corrinoid adenosyltransferase	http://purl.uniprot.org/uniprot/Q9I472
GCF-001516325-protein5015.fasta	GCF_001516325	NZ_CP008860.2	5526852	5527254	5015		
GCF-002237405-protein12063.fasta	GCF_002237405	NZ_CP022526.1	6599158	6599449	12063	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A485F2K7
GCF-000496455-protein2024.fasta	GCF_000496455	NZ_CP013993.1	2126085	2126931	2024	Sugar ABC transporter permease	http://purl.uniprot.org/uniprot/A0A1F0J0G9
GCF-001516325-protein2036.fasta	GCF_001516325	NZ_CP008860.2	2226295	2227588	2036	restriction endonuclease subunit S	http://purl.uniprot.org/uniparc/UPI0007446311
GCF-002968695-protein10441.fasta	GCF_002968695	NZ_CP027174.1	4116851	4117661	10441	DUF2135 domain-containing protein	http://purl.uniprot.org/uniparc/UPI000940B080
GCF-003028335-protein2993.fasta	GCF_003028335	NZ_CP028162.1	3273460	3274141	2993	Isochorismatase hydrolase	http://purl.uniprot.org/uniprot/A0A157WJ15
GCF-003028335-protein3163.fasta	GCF_003028335	NZ_CP028162.1	3462351	3463587	3163	TolC family protein	http://purl.uniprot.org/uniprot/A0A2R4B803
GCF-003288355-protein9104.fasta	GCF_003288355	NZ_CP030328.1	3631730	3631946	9104	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0M4P2F6
GCF-002968695-protein9866.fasta	GCF_002968695	NZ_CP027174.1	3505318	3505942	9866	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A3S3W3M2
GCF-003028335-protein2200.fasta	GCF_003028335	NZ_CP028162.1	2364771	2365470	2200	Orotidine 5'-phosphate decarboxylase	http://purl.uniprot.org/uniprot/B7V800
GCF-003052005-protein7492.fasta	GCF_003052005	NZ_CP028584.2	1117794	1118598	7492	2-oxo-hepta-3-ene-1,7-dioic acid hydratase	http://purl.uniprot.org/uniprot/A0A157WBF5
GCF-001547955-protein12553.fasta	GCF_001547955	NZ_AP014651.1	6759888	6760173	12553	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0005B3873A
GCF-002968695-protein11082.fasta	GCF_002968695	NZ_CP027174.1	4837527	4838175	11082	peptide-methionine (S)-S-oxide reductase MsrA	http://purl.uniprot.org/uniparc/UPI00053E0CBA
GCF-001516165-protein11787.fasta	GCF_001516165	NZ_CP008869.2	6434837	6435539	11787	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00044BD4B7
GCF-003319235-protein10384.fasta	GCF_003319235	NZ_CP030861.1	4582418	4584272	10384	Phage integrase family protein	http://purl.uniprot.org/uniprot/A0A2K4XHB3
GCF-000829885-protein8417.fasta	GCF_000829885	NZ_CP010555.1	2355032	2355890	8417	Putative selenate ABC transporter substrate-binding protein	http://purl.uniprot.org/uniprot/A0A2V2TZR3
GCF-001516105-protein5729.fasta	GCF_001516105	NZ_CP008868.1	6264220	6265060	5729	enoyl-CoA hydratase	http://purl.uniprot.org/uniparc/UPI00053DE45E
GCF-002968695-protein8011.fasta	GCF_002968695	NZ_CP027174.1	1442601	1443192	8011	Flavodoxin_2 domain-containing protein	http://purl.uniprot.org/uniprot/Q9I0Q6
GCF-002753655-protein5468.fasta	GCF_002753655	NZ_CP024477.1	6035985	6039597	5468	Predicted membrane protein	http://purl.uniprot.org/uniprot/A0A157V526
GCF-002968755-protein3395.fasta	GCF_002968755	NZ_CP027169.1	3699611	3699929	3395	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A2R3IXM4
GCF-002968695-protein12641.fasta	GCF_002968695	NZ_CP027174.1	6571417	6572287	12641	thioredoxin	http://purl.uniprot.org/uniparc/UPI0002B4E0B1
GCF-000829885-protein7782.fasta	GCF_000829885	NZ_CP010555.1	1708912	1709470	7782	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A2U2XIC9
GCF-001077475-protein5229.fasta	GCF_001077475	NZ_CP012066.1	5775225	5776323	5229	Probable permease of ABC transporter	http://purl.uniprot.org/uniprot/Q9I6Z5
GCF-002753655-protein5967.fasta	GCF_002753655	NZ_CP024477.1	6570435	6571056	5967	RNA polymerase sigma factor	http://purl.uniprot.org/uniprot/A0A385FW68
GCF-001516325-protein4456.fasta	GCF_001516325	NZ_CP008860.2	4905917	4906277	4456	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00071B68F9
GCF-003369775-protein584.fasta	GCF_003369775	NZ_CP030910.1	634649	637199	584	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0003B9A23E
GCF-001606045-protein8340.fasta	GCF_001606045	NZ_CP014948.1	2414432	2417837	8340		
GCF-000524595-protein5347.fasta	GCF_000524595	NZ_CP007147.1	5905393	5907922	5347	Phosphoenolpyruvate-protein phosphotransferase	http://purl.uniprot.org/uniprot/A0A3S4PAS2
GCF-001516165-protein9358.fasta	GCF_001516165	NZ_CP008869.2	3780636	3780987	9358	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0M2RB63
GCF-003028335-protein5995.fasta	GCF_003028335	NZ_CP028162.1	6521132	6522563	5995	DNA-binding transcriptional regulator NtrC	http://purl.uniprot.org/uniprot/A0A157V4V6
GCF-000017205-protein8919.fasta	GCF_000017205	NC_009656.1	3300496	3302368	8919	Tryptophan 2-monooxygenase	http://purl.uniprot.org/uniprot/A6V666
GCF-002968755-protein2555.fasta	GCF_002968755	NZ_CP027169.1	2832027	2832840	2555		
GCF-000816985-protein713.fasta	GCF_000816985	NZ_CP007399.1	757100	758123	713	alpha/beta fold hydrolase	http://purl.uniprot.org/uniparc/UPI000585E187
GCF-900243355-protein4684.fasta	GCF_900243355	NZ_LT969520.1	5059670	5060339	4684	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0007649015
GCF-003571505-protein8760.fasta	GCF_003571505	NZ_CP012901.1	2405291	2406578	8760	S49 family peptidase	http://purl.uniprot.org/uniparc/UPI0003B97013
